	0	1	2	3	4	5	6	7	8	9	10
-270	-6.258	-6.256	-6.255	-6.253	-6.251	-6.248	-6.245	-6.242	-6.239	-6.236	-6.232
-260	-6.232	-6.228	-6.223	-6.219	-6.214	-6.209	-6.204	-6.198	-6.193	-6.187	-6.18
-250	-6.18	-6.174	-6.167	-6.16	-6.153	-6.146	-6.138	-6.13	-6.122	-6.114	-6.105
-240	-6.105	-6.096	-6.087	-6.078	-6.068	-6.059	-6.049	-6.038	-6.028	-6.017	-6.007
-230	-6.007	-5.996	-5.985	-5.973	-5.962	-5.95	-5.938	-5.926	-5.914	-5.901	-5.888
-220	-5.888	-5.876	-5.863	-5.85	-5.836	-5.823	-5.809	-5.795	-5.782	-5.767	-5.753
-210	-5.753	-5.739	-5.724	-5.71	-5.695	-5.68	-5.665	-5.65	-5.634	-5.619	-5.603
-200	-5.603	-5.587	-5.571	-5.555	-5.539	-5.523	-5.506	-5.489	-5.473	-5.456	-5.439
-190	-5.439	-5.421	-5.404	-5.387	-5.369	-5.351	-5.334	-5.316	-5.297	-5.279	-5.261
-180	-5.261	-5.242	-5.224	-5.205	-5.186	-5.167	-5.148	-5.128	-5.109	-5.089	-5.07
-170	-5.07	-5.05	-5.03	-5.01	-4.989	-4.969	-4.949	-4.928	-4.907	-4.886	-4.865
-160	-4.865	-4.844	-4.823	-4.802	-4.78	-4.759	-4.737	-4.715	-4.693	-4.671	-4.648
-150	-4.648	-4.626	-4.604	-4.581	-4.558	-4.535	-4.512	-4.489	-4.466	-4.443	-4.419
-140	-4.419	-4.395	-4.372	-4.348	-4.324	-4.3	-4.275	-4.251	-4.226	-4.202	-4.177
-130	-4.177	-4.152	-4.127	-4.102	-4.077	-4.052	-4.026	-4	-3.975	-3.949	-3.923
-120	-3.923	-3.897	-3.871	-3.844	-3.818	-3.791	-3.765	-3.738	-3.711	-3.684	-3.657
-110	-3.657	-3.629	-3.602	-3.574	-3.547	-3.519	-3.491	-3.463	-3.435	-3.407	-3.379
-100	-3.379	-3.35	-3.322	-3.293	-3.264	-3.235	-3.206	-3.177	-3.148	-3.118	-3.089
-90	-3.089	-3.059	-3.03	-3	-2.97	-2.94	-2.91	-2.879	-2.849	-2.818	-2.788
-80	-2.788	-2.757	-2.726	-2.695	-2.664	-2.633	-2.602	-2.571	-2.539	-2.507	-2.476
-70	-2.476	-2.444	-2.412	-2.38	-2.348	-2.316	-2.283	-2.251	-2.218	-2.186	-2.153
-60	-2.153	-2.12	-2.087	-2.054	-2.021	-1.987	-1.954	-1.92	-1.887	-1.853	-1.819
-50	-1.819	-1.785	-1.751	-1.717	-1.683	-1.648	-1.614	-1.579	-1.545	-1.51	-1.475
-40	-1.475	-1.44	-1.405	-1.37	-1.335	-1.299	-1.264	-1.228	-1.192	-1.157	-1.121
-30	-1.121	-1.085	-1.049	-1.013	-0.976	-0.94	-0.904	-0.867	-0.83	-0.794	-0.757
-20	-0.757	-0.72	-0.683	-0.646	-0.608	-0.571	-0.534	-0.496	-0.459	-0.421	-0.383
-10	-0.383	-0.345	-0.307	-0.269	-0.231	-0.193	-0.154	-0.116	-0.077	-0.039	0
0	0	0.039	0.078	0.117	0.156	0.195	0.234	0.273	0.312	0.352	0.391
10	0.391	0.431	0.47	0.51	0.549	0.589	0.629	0.669	0.709	0.749	0.79
20	0.79	0.83	0.87	0.911	0.951	0.992	1.033	1.074	1.114	1.155	1.196
30	1.196	1.238	1.279	1.32	1.362	1.403	1.445	1.486	1.528	1.57	1.612
40	1.612	1.654	1.696	1.738	1.78	1.823	1.865	1.908	1.95	1.993	2.036
50	2.036	2.079	2.122	2.165	2.208	2.251	2.294	2.338	2.381	2.425	2.468
60	2.468	2.512	2.556	2.6	2.643	2.687	2.732	2.776	2.82	2.864	2.909
70	2.909	2.953	2.998	3.043	3.087	3.132	3.177	3.222	3.267	3.312	3.358
80	3.358	3.403	3.448	3.494	3.539	3.585	3.631	3.677	3.722	3.768	3.814
90	3.814	3.86	3.907	3.953	3.999	4.046	4.092	4.138	4.185	4.232	4.279
100	4.279	4.325	4.372	4.419	4.466	4.513	4.561	4.608	4.655	4.702	4.75
110	4.75	4.798	4.845	4.893	4.941	4.988	5.036	5.084	5.132	5.18	5.228
120	5.228	5.277	5.325	5.373	5.422	5.47	5.519	5.567	5.616	5.665	5.714
130	5.714	5.763	5.812	5.861	5.91	5.959	6.008	6.057	6.107	6.156	6.206
140	6.206	6.255	6.305	6.355	6.404	6.454	6.504	6.554	6.604	6.654	6.704
150	6.704	6.754	6.805	6.855	6.905	6.956	7.006	7.057	7.107	7.158	7.209
160	7.209	7.26	7.31	7.361	7.412	7.463	7.515	7.566	7.617	7.668	7.72
170	7.72	7.771	7.823	7.874	7.926	7.977	8.029	8.081	8.133	8.185	8.237
180	8.237	8.289	8.341	8.393	8.445	8.497	8.55	8.602	8.654	8.707	8.759
190	8.759	8.812	8.865	8.917	8.97	9.023	9.076	9.129	9.182	9.235	9.288
