Number	Thermocouple Voltage,mV	f,kHz	f_0,kHz	Thermocouple Voltage Error,mV	f Error,kHz
1	0.58	807.9	868	0.01	0.5
2	0.50	807.3	867	0.01	0.5
3	0.42	807.5	868	0.01	0.5
4	0.36	808.2	868	0.01	0.5
5	0.33	808.4	868	0.01	0.5
6	0.29	809.4	868	0.01	0.5
7	0.24	811.3	868	0.01	0.5
8	0.20	813.9	867	0.01	0.5
9	0.13	828.4	868	0.01	0.5
10	0.06	842	868	0.01	0.5
11	-0.05	853	869	0.01	0.5
12	-0.08	855	869	0.01	0.5
13	-0.14	859	869	0.01	0.5
14	-0.18	861	869	0.01	0.5
15	-0.27	863.3	869	0.01	0.5
16	-0.35	864.4	869	0.01	0.5
17	-0.43	865.2	869	0.01	0.5
18	-0.50	865.7	869	0.01	0.5
19	-0.58	866.3	869	0.01	0.5
20	-0.66	866.5	869	0.01	0.5
21	-0.74	866.9	869	0.01	0.5
22	-0.83	867.1	869	0.01	0.5
23	-0.91	867.4	869	0.01	0.5
24	-0.98	867.8	869	0.01	0.5
