Current, mA	Voltage, V
0.4760742	-0.0000650
0.9521484	0.0000008
7.4282227	0.0003173
7.9042969	0.0003722
8.3803711	0.0003508
8.8564453	0.0004929
9.3325195	0.0005260
9.8085937	0.0005483
10.2846680	0.0006141
10.7607422	0.0006581
11.2368164	0.0007566
11.7128906	0.0008115
12.1889648	0.0009536
12.6650391	0.0009431
13.1411133	0.0010961
13.6171875	0.0010638
14.0932617	0.0011950
14.5693359	0.0013262
15.0454102	0.0015337
15.5214844	0.0032671
15.9975586	0.0138179
16.4736328	0.0251098
16.9497070	0.0364671
17.4257812	0.0477808
17.9018555	0.0591490
18.3779297	0.0704845
18.8540039	0.0817982
19.3300781	0.0931556
19.8061523	0.1045456
20.2822266	0.1158048
20.7583008	0.1272166
21.2343750	0.1385412
21.7104492	0.1498549
22.1865234	0.1611141
22.6625977	0.1724823
23.1386719	0.1837416
23.6147461	0.1950880
24.0908203	0.2063908
24.5668945	0.2176718
25.0429687	0.2289201
25.5190430	0.2401576
25.9951172	0.2514495
26.4711914	0.2627632
26.9472656	0.2739897
27.4233398	0.2852053
27.8994141	0.2963992
28.3754883	0.3076148
28.8515625	0.3188086
29.3276367	0.3300569
29.8037109	0.3412725
30.2797852	0.3523356
30.7558594	0.3635403
31.2319336	0.3746687
31.7080078	0.3858626
32.1840820	0.3969801
32.6601562	0.4081194
33.1362305	0.4191933
33.6123047	0.4302673
34.0883789	0.4413412
34.5644531	0.4523498
35.0405273	0.4634128
35.5166016	0.4744976
35.9926758	0.4854190
36.4687500	0.4963839
36.9448242	0.5073815
37.4208984	0.5183574
37.8969727	0.5293005
38.3730469	0.5403091
38.8491211	0.5511541
39.3251953	0.5620319
39.8012695	0.5728987
40.2773437	0.5837547
40.7534180	0.5946651
41.2294922	0.6055320
41.7055664	0.6163770
42.1816406	0.6270913
42.6577148	0.6378927
43.1337891	0.6486615
43.6098633	0.6593649
44.0859375	0.6700791
44.5620117	0.6808043
45.0380859	0.6915185
45.5141602	0.7021565
45.9902344	0.7129144
46.4663086	0.7235850
46.9423828	0.7342121
47.4184570	0.7447629
47.8945312	0.7553355
48.3706055	0.7658862
48.8466797	0.7764915
6.0000000	0.0060321
0.0000000	0.0004085
0.0000000	0.0001909
0.0000000	0.0001260
0.0000000	0.0000610
0.0000000	0.0000832
0.0000000	0.0000291
0.0000000	0.0001058
0.0000000	0.0000408
0.0000000	0.0000521
0.0000000	0.0000090
0.0000000	-0.0000015
0.0000000	-0.0000011
0.0000000	0.0000429
0.0000000	-0.0000112
0.0000000	0.0000001
0.0000000	-0.0000213
0.0000000	-0.0000426
0.0000000	0.0000232
