90	0
87.5	0
85	0.007
82.5	0.006
80	0.005
77.5	0
75	0
72.5	0
70	0.01
67.5	0.02
65	0.03
62.5	0.03
60	0.02
57.5	0.045
55	0.3
52.5	1.27
50	3.51
47.5	5.48
45	4.99
42.5	2.7
40	0.8
37.5	0.2
35	0.1
32.5	0.15
30	0.62
27.5	3.25
25	10.37
22.5	15.6
20	12.3
17.5	5.5
15	1.76
12.5	0.4
10	0.5
7.5	2.5
5	8
2.5	19.9
0	16.3
-2.5	13
-5	3.72
-7.5	0.6
-10	0.2
-12.5	0.95
-15	4.55
-17.5	11.06
-20	15.2
-22.5	11.08
-25	5.32
-27.5	1.1
-30	0.14
-32.5	0.1
-35	0.2
-37.5	0.9
-40	2.45
-42.5	5.4
-45	6.3
-47.5	4.1
-50	2
-52.5	0.4
-55	0
-57.5	0
-60	0
-62.5	0
-65	0
-67.5	0
-70	0
-72.5	0
-75	0
-77.5	0
-80	0
-82.5	0
-85	0
-87.5	0
-90	0
